City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Estacion Coahuila,MX,57.96,clear sky,32.1939,-115.0017,Hotel Las Cabañas
377,Lively,CA,27.52,scattered clouds,46.4334,-81.1498,Lively Inn and Suites - Sudbury
378,Hokitika,NZ,66.49,scattered clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
379,Korla,CN,23.94,broken clouds,41.7597,86.1469,Gulisitan Hotel
380,Lowestoft,GB,51.22,overcast clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
382,Rakhiv,UA,28.89,clear sky,48.0526,24.2009,Olenka
383,La Palma,US,62.76,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
384,Veraval,IN,71.2,light rain,20.9,70.3667,Lords Inn Somnath
385,Isangel,VU,76.39,clear sky,-19.55,169.2667,Tanna Lodge
386,Arenapolis,BR,83.43,broken clouds,-14.4503,-56.8461,Mato Grosso Hotel
388,Haicheng,CN,9.19,broken clouds,40.8516,122.7475,Haicheng Grand Hotel
390,Kikwit,CD,72.72,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
391,Avanigadda,IN,69.78,scattered clouds,16.0215,80.9181,AP Camping
392,Labuhan,ID,77.59,scattered clouds,-6.8844,112.2051,DoubleFAG
394,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
395,Saint Anthony,US,6.42,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
396,Benjamin Hill,MX,63.18,light rain,30.1667,-111.1,Hotel Benjamín Hill
